--- Processing Session Started at 2026-04-22 12:10:01 ---
--- Processing Session Ended at 2026-04-22 12:10:21 ---

--- Processing Session Started at 2026-04-22 12:14:02 ---
--- Processing Session Ended at 2026-04-22 12:14:15 ---

--- Processing Session Started at 2026-04-22 12:18:17 ---
--- Processing Session Ended at 2026-04-22 12:18:47 ---

--- Processing Session Started at 2026-04-22 12:20:19 ---
[2026-04-22 12:20:52] Operation: PassThroughFilter (z) | Pts before: 35947 | Pts after: 35947 | Diff: 0
[2026-04-22 12:20:52] Operation: VoxelGridFilter (leaf_size: 0.055000) | Pts before: 35947 | Pts after: 28 | Diff: -35919
[2026-04-22 12:20:52] Operation: StatisticalOutlierFilter (meanK: 50) | Pts before: 28 | Pts after: 24 | Diff: -4
[2026-04-22 12:21:04] Operation: PassThroughFilter (z) | Pts before: 35947 | Pts after: 35947 | Diff: 0
[2026-04-22 12:21:04] Operation: VoxelGridFilter (leaf_size: 0.017000) | Pts before: 35947 | Pts after: 277 | Diff: -35670
[2026-04-22 12:21:04] Operation: StatisticalOutlierFilter (meanK: 50) | Pts before: 277 | Pts after: 257 | Diff: -20
[2026-04-22 12:21:06] Operation: PassThroughFilter (z) | Pts before: 35947 | Pts after: 35947 | Diff: 0
[2026-04-22 12:21:06] Operation: VoxelGridFilter (leaf_size: 0.017000) | Pts before: 35947 | Pts after: 277 | Diff: -35670
[2026-04-22 12:21:06] Operation: StatisticalOutlierFilter (meanK: 50) | Pts before: 277 | Pts after: 257 | Diff: -20
[2026-04-22 12:21:09] Operation: PassThroughFilter (z) | Pts before: 35947 | Pts after: 35947 | Diff: 0
[2026-04-22 12:21:09] Operation: VoxelGridFilter (leaf_size: 0.008000) | Pts before: 35947 | Pts after: 1180 | Diff: -34767
[2026-04-22 12:21:09] Operation: StatisticalOutlierFilter (meanK: 50) | Pts before: 1180 | Pts after: 1051 | Diff: -129
[2026-04-22 12:21:14] Operation: PassThroughFilter (z) | Pts before: 35947 | Pts after: 35947 | Diff: 0
[2026-04-22 12:21:14] Operation: VoxelGridFilter (leaf_size: 0.004000) | Pts before: 35947 | Pts after: 4614 | Diff: -31333
[2026-04-22 12:21:14] Operation: StatisticalOutlierFilter (meanK: 50) | Pts before: 4614 | Pts after: 4086 | Diff: -528
[2026-04-22 12:21:19] Operation: PassThroughFilter (z) | Pts before: 35947 | Pts after: 35947 | Diff: 0
[2026-04-22 12:21:19] Operation: VoxelGridFilter (leaf_size: 0.004000) | Pts before: 35947 | Pts after: 4614 | Diff: -31333
[2026-04-22 12:21:19] Operation: StatisticalOutlierFilter (meanK: 23) | Pts before: 4614 | Pts after: 4031 | Diff: -583
[2026-04-22 12:21:22] Operation: PassThroughFilter (z) | Pts before: 35947 | Pts after: 35947 | Diff: 0
[2026-04-22 12:21:22] Operation: VoxelGridFilter (leaf_size: 0.004000) | Pts before: 35947 | Pts after: 4614 | Diff: -31333
[2026-04-22 12:21:23] Operation: StatisticalOutlierFilter (meanK: 181) | Pts before: 4614 | Pts after: 4204 | Diff: -410
[2026-04-22 12:21:26] Operation: PassThroughFilter (z) | Pts before: 35947 | Pts after: 35947 | Diff: 0
[2026-04-22 12:21:26] Operation: VoxelGridFilter (leaf_size: 0.004000) | Pts before: 35947 | Pts after: 4614 | Diff: -31333
[2026-04-22 12:21:27] Operation: StatisticalOutlierFilter (meanK: 181) | Pts before: 4614 | Pts after: 4607 | Diff: -7
[2026-04-22 12:21:29] Operation: PassThroughFilter (z) | Pts before: 35947 | Pts after: 35947 | Diff: 0
[2026-04-22 12:21:29] Operation: VoxelGridFilter (leaf_size: 0.004000) | Pts before: 35947 | Pts after: 4614 | Diff: -31333
[2026-04-22 12:21:30] Operation: StatisticalOutlierFilter (meanK: 181) | Pts before: 4614 | Pts after: 4607 | Diff: -7
[2026-04-22 12:21:34] Operation: PassThroughFilter (z) | Pts before: 35947 | Pts after: 35947 | Diff: 0
[2026-04-22 12:21:34] Operation: VoxelGridFilter (leaf_size: 0.004000) | Pts before: 35947 | Pts after: 4614 | Diff: -31333
[2026-04-22 12:21:35] Operation: StatisticalOutlierFilter (meanK: 181) | Pts before: 4614 | Pts after: 4607 | Diff: -7
--- Processing Session Ended at 2026-04-22 12:21:40 ---

